Num.,Indicador,DescripciÑn,MnemÑnico,Rangos,Longitud
115,PoblaciÑn femenina de 15 aÐos y màs sin escolaridad,Mujeres de 15 a 130 aÐos de edad que no aprobaron ningÏn grado escolar o que sÑlo tienen nivel preescolar.,P15YM_SE_F,0...999999999,9
116,PoblaciÑn masculina de 15 aÐos y màs sin escolaridad,Hombres de 15 a 130 aÐos de edad que no aprobaron ningÏn grado escolar o que sÑlo tienen nivel preescolar.,P15YM_SE_M,0...999999999,9
117,PoblaciÑn de 15 aÐos y màs con primaria incompleta,Personas de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta el quinto grado aprobado en primaria. Incluye a las personas que no especificaron los grados aprobados en el nivel seÐalado.,P15PRI_IN,0...999999999,9
118,PoblaciÑn femenina de 15 aÐos y màs con primaria incompleta,Mujeres de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta el quinto grado aprobado en primaria. Incluye a las mujeres que no especificaron los grados aprobados en el nivel seÐalado.,P15PRI_INF,0...999999999,9
119,PoblaciÑn masculina de 15 aÐos y màs con primaria incompleta,Hombres de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta el quinto grado aprobado en primaria. Incluye a los hombres que no especificaron los grados aprobados en el nivel seÐalado.,P15PRI_INM,0...999999999,9
120,PoblaciÑn de 15 aÐos y màs con primaria completa,Personas de 15 a 130 aÐos de edad que tienen como màxima escolaridad 6 grados aprobados en primaria. ,P15PRI_CO,0...999999999,9
121,PoblaciÑn femenina de 15 aÐos y màs con primaria completa,Mujeres de 15 a 130 aÐos de edad que tienen como màxima escolaridad 6 grados aprobados en primaria.,P15PRI_COF,0...999999999,9
122,PoblaciÑn masculina de 15 aÐos y màs con primaria completa,Hombres de 15 a 130 aÐos de edad que tienen como màxima escolaridad 6 grados aprobados en primaria.,P15PRI_COM,0...999999999,9
123,PoblaciÑn de 15 aÐos y màs con secundaria incompleta,Personas de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta segundo grado aprobado de secundaria. Incluye a las personas que no especificaron los grados aprobados en el nivel seÐalado.,P15SEC_IN,0...999999999,9
124,PoblaciÑn femenina de 15 aÐos y màs con secundaria incompleta,Mujeres de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta segundo grado aprobado de secundaria. Incluye a las mujeres que no especificaron los grados aprobados en el nivel seÐalado.,P15SEC_INF,0...999999999,9
125,PoblaciÑn masculina de 15 aÐos y màs con secundaria incompleta,Hombres de 15 a 130 aÐos de edad que tienen como màxima escolaridad hasta segundo grado aprobado de secundaria. Incluye a los hombres que no especificaron los grados aprobados en el nivel seÐalado.,P15SEC_INM,0...999999999,9
126,PoblaciÑn de 15 aÐos y màs con secundaria completa,Personas de 15 a 130 aÐos de edad que tienen como màxima escolaridad 3 grados aprobados en secundaria.,P15SEC_CO,0...999999999,9
127,PoblaciÑn femenina de 15 aÐos y màs con secundaria completa,Mujeres de 15 a 130 aÐos de edad que tienen como màxima escolaridad 3 grados aprobados en secundaria.,P15SEC_COF,0...999999999,9
128,PoblaciÑn masculina de 15 aÐos y màs con secundaria completa,Hombres de 15 a 130 aÐos de edad que tienen como màxima escolaridad 3 grados aprobados en secundaria.,P15SEC_COM,0...999999999,9
129,PoblaciÑn de 18 aÐos y màs con educaciÑn posbàsica,Personas de 18 a 130 aÐos de edad que tienen como màxima escolaridad algÏn grado aprobado en preparatoria o bachillerato; normal bàsica; estudios t_cnicos o comerciales con secundaria terminada; estudios t_cnicos o comerciales con preparatoria terminada; normal de licenciatura; licenciatura o profesional; especialidad; maestrÕa o doctorado. Incluye a las personas que no especificaron los grados aprobados en los niveles seÐalados.,P18YM_PB,0...999999999,9
130,PoblaciÑn femenina de 18 aÐos y màs con educaciÑn posbàsica,Mujeres de 18 a 130 aÐos de edad que tienen como màxima escolaridad algÏn grado aprobado: preparatoria o bachillerato; normal bàsica; estudios t_cnicos o comerciales con secundaria terminada; estudios t_cnicos o comerciales con preparatoria terminada; normal de licenciatura; licenciatura o profesional; especialidad; maestrÕa o doctorado. Incluye a las personas que no especificaron los grados aprobados en los niveles seÐalados.,P18YM_PB_F,0...999999999,9
131,PoblaciÑn masculina de 18 aÐos y màs con educaciÑn posbàsica,Hombres de 18 a 130 aÐos de edad que tienen como màxima escolaridad algÏn grado aprobado en preparatoria o bachillerato; normal bàsica; estudios t_cnicos o comerciales con secundaria terminada; estudios t_cnicos o comerciales con preparatoria terminada; normal de licenciatura; licenciatura o profesional; especialidad; maestrÕa o doctorado. Incluye a las personas que no especificaron los grados aprobados en los niveles seÐalados.,P18YM_PB_M,0...999999999,9
132,Grado promedio de escolaridad,Resultado de dividir el monto de grados escolares aprobados por las personas de 15 a 130 aÐos de edad entre las personas del mismo grupo de edad. Excluye a las personas que no especificaron los grados aprobados.,GRAPROES,0...999999999,9
133,Grado promedio de escolaridad de la poblaciÑn femenina,Resultado de dividir el monto de grados escolares aprobados por las mujeres de 15 a 130 aÐos de edad entre las mujeres del mismo grupo de edad. Excluye a las mujeres que no especificaron los grados aprobados.,GRAPROES_F,0...999999999,9
134,Grado promedio de escolaridad de la poblaciÑn masculina,Resultado de dividir el monto de grados escolares aprobados por los hombres de 15 a 130 aÐos de edad entre los hombres del mismo grupo de edad. Excluye a los hombres que no especificaron los grados aprobados.,GRAPROES_M,0...999999999,9
135,PoblaciÑn de 12 aÐos y màs econÑmicamente activa,"Personas de 12 a 130 aÐos de edad que trabajaron, tenÕan trabajo pero no trabajaron o buscaron trabajo en la semana de referencia.",PEA,0..999999999,9
136,PoblaciÑn femenina de 12 aÐos y màs econÑmicamente activa,"Mujeres de 12 a 130 aÐos de edad que trabajaron, tenÕan trabajo pero no trabajaron o buscaron trabajo en la semana de referencia.",PEA_F,0...999999999,9
137,PoblaciÑn masculina de 12 aÐos y màs econÑmicamente activa,"Hombres de 12 a 130 aÐos de edad que trabajaron, tenÕan trabajo pero no trabajaron o buscaron trabajo en la semana de referencia.",PEA_M,0...999999999,9
138,PoblaciÑn de 12 aÐos y màs no econÑmicamente activa,Personas de 12 a 130 aÐos de edad pensionadas o jubiladas; estudiantes; dedicadas a los quehaceres del hogar; estàn incapacitadas permanentemente para trabajar; o no trabajan.,PE_INAC,0...999999999,9
139,PoblaciÑn femenina de 12 aÐos y màs no econÑmicamente activa,Mujeres de 12 a 130 aÐos de edad pensionadas o jubiladas; estudiantes; dedicadas a los quehaceres del hogar; estàn incapacitadas permanentemente para trabajar; o no trabajan.,PE_INAC_F,0...999999999,9
140,PoblaciÑn masculina de 12 aÐos y màs no econÑmicamente activa,Hombres de 12 a 130 aÐos de edad pensionados o jubilados; estudiantes; dedicados a los quehaceres del hogar; estàn incapacitados permanentemente para trabajar; o no trabajan.,PE_INAC_M,0...999999999,9
141,PoblaciÑn de 12 aÐos y màs ocupada,"Personas de 12 a 130 aÐos de edad que trabajaron o que no trabajaron, pero sÕ tenÕan trabajo en la semana de referencia.",POCUPADA,0...999999999,9
142,PoblaciÑn femenina de 12 aÐos y màs ocupada,"Mujeres de 12 a 130 aÐos de edad que trabajaron o que no trabajaron, pero sÕ tenÕan trabajo en la semana de referencia.",POCUPADA_F,0...999999999,9
