CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,ENTRE CALLE ,Y CALLE,LOCALIDAD INEGI, NOMBRE LOCALIDAD,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,DIRECTOR,CODIGO POSTAL,TELEFONO,CORREO,ZONA ESCOLAR,SECTOR,SOSTENIM.,NOM SOST.,NIVEL,PROGRAMA,LATITUD,LONGITUD
14DJN0139U,MATUTINO,JOSEFINA BUENROSTRO NU†O,FRANCISCO CAMACHO 5,COSIO VIDAURRI,0,1,SAN MARTIN HIDALGO,CRUZ VERDE,77,SAN MARTIN HIDALGO,LAURA ROSAS MORENO,46770,0,josefinabuenrostro169@hotmail.com,169,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.437638,-103.9244558
14DJN0140J,MATUTINO,VICENTE SUAREZ,DOROTEO ARANGO 123,AVENIDA TONALA,DIVISION DEL NORTE,1,TONALA,FRANCISCO VILLA,101,TONALA,NANCY KARINA ZU†IGA MERCADO,45400,0,cynan_165@hotmail.com,105,22,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6190031,-103.2562449
14DJN0141I,MATUTINO,HEROE DE NACOZARI,CALLE 9 267,CALLE 10,CALLE 8,1,GUADALAJARA,FERROCARRIL,39,GUADALAJARA,ADRIANA ENCISO ORNELAS,44440,38121170,adriss_enciso@hotmail.com,2,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6443046,-103.3485244
14DJN0142H,MATUTINO,JAIME NUNO,JUAREZ 3,FRANCISCO I MADERO,CUAUHTEMOC,40,SAN CLEMENTE,0,110,UNION DE TULA,ELIA GUERRERO OLIVA,48020,0,alma_rosa_192@hotmail.com,32,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.0816945,-104.2517502
14DJN0143G,MATUTINO,ELENA ZAPATA,GENERAL CORONADO 1014,MIRAFLORES,VOLCANES,1,GUADALAJARA,MEZQUITAN COUNTRY,39,GUADALAJARA,EVANGELINA ANGEL GARCIA,44260,38268278,evangelina.angel@hotmail.com,4,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6927024,-103.3643122
14DJN0144F,MATUTINO,TESISTAN,LUCIO BLANCO 50,REFORMA,MELCHOR OCAMPO,231,TESISTAN (SAN FRANCISCO TESISTAN),0,120,ZAPOPAN,CELINA BOBADILLA ZAVALA,45200,38970172,jardin-14-tesistan@hotmail.com,194,3,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.801004,-103.481947
14DJN0145E,MATUTINO,GABRIELA MISTRAL,HUMBOLDT 620,HOSPITAL,JUAN ALVAREZ,1,GUADALAJARA,0,39,GUADALAJARA,LUCIA COVARRUBIAS ARANA,44280,10260772,matrasgabrielamistral@hotmail.com,172,2,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6851,-103.343414
14DJN0146D,MATUTINO,PEDRO MORENO,DOM CON,0,0,1,LAGOS DE MORENO,LADERA GRANDE,53,LAGOS DE MORENO,ANGELICA PATRICIA LEON DELGADO,47400,0,agie_7oaxaca@hotmail.com,47,9,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.3563889,-101.9291667
14DJN0147C,MATUTINO,EMILIANO ZAPATA,LAS FLORES 15,VICTORIANO NU†EZ,PERIFERICO NORTE,1,ZAPOPAN,VICTOR HUGO,120,ZAPOPAN,LAURA GUTIERREZ GOMEZ,45190,31124213,laresa_63@hotmail.com,35,3,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.725831,-103.342058
14DJN0148B,MATUTINO,MA SANTOS DELGADILLO VDA YA†EZ,MONTE CARMELO 332,ANDADOR JOSE R BENITEZ,GALILEO,1,GUADALAJARA,INDEPENDENCIA,39,GUADALAJARA,MARIA GRGORIA JIMENEZ GUTIERREZ,44379,36993346,magregoyis@hotmail.com,69,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.706961,-103.334094
14DJN0149A,MATUTINO,SOR JUANA INES DE LA CRUZ,CONSTITUCION 2 A,ABASOLO,ALDAMA,2,ATOTONILCO EL BAJO,0,114,VILLA CORONA,MARIA DEL ROSARIO CASTILLO RODRIGUEZ,45745,0,ila_calata@hotmail.com,8,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.3478789,-103.675077
14DJN0150Q,MATUTINO,VOCES DE PRIMAVERA,PASEO DE LA REFORMA 48,BENITO JUAREZ,PASEO DE LA REFORMA,5,ESTIPAC,0,114,VILLA CORONA,ARACELI MARTINEZ LOPEZ,45740,0,ara9a@hotmail.com,8,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.363786,-103.731262
14DJN0151P,MATUTINO,CUITLAHUAC,TABACHINES 158,LAZARO CARDENAS,FRANCISCO VILLA,243,LA VENTA DEL ASTILLERO,0,120,ZAPOPAN,BERENICE ROBLES LARIOS,45221,31652268,jncuitlahuacmexico@groups.live.com,189,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.7259747,-103.5456017
14DJN0152O,MATUTINO,AGUSTIN YA†EZ,EMILIANO ZAPATA 331,MORELOS,0,1,ZAPOPAN,SANTA MA DEL PUEBLITO,120,ZAPOPAN,MARIA AURORA GIL GONZALEZ,45018,13805680,mauroragg@hotmail.com,187,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.677838,-103.435174
14DJN0153N,MATUTINO,BENITO JUAREZ,MACLOVIA GONZALEZ 5,0,0,71,MANALISCO,0,118,YAHUALICA DE GONZALEZ GALLO,MA. GUADALUPE JIMENEZ RUVALCABA,47330,0,jrlupita@yahoo.com.mx,40,8,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.05725,-102.9243054
14DJN0154M,MATUTINO,SOR JUANA INES DE LA CRUZ,PINO SUAREZ 86,PASEO DE LAS LOMAS,5 DE MAYO,8,SAN LUIS SOYATLAN,0,107,TUXCUECA,MA GUADALUPE MORAN RITO,49440,0,lupitamr1710@yahoo.com.mx,39,21,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.1962265,-103.3103052
14DJN0155L,MATUTINO,JAVIER URIBE,DOCTOR OLIVA 20,HIDALGO,MORELOS,1,AHUALULCO DE MERCADO,AHUALULCO DE MERCADO (ZONA CENTRO),3,AHUALULCO DE MERCADO,MARIA ELENA ARELLANO NU†EZ,46730,7521260,javieruribe@hotmail.com,75,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.705417,-103.9727418
14DJN0156K,MATUTINO,J JESUS SANCHEZ GUERRERO,PROLONGACION JUAREZ 45,ALCALDE,FLAVIANO RAMOS,1,TLAJOMULCO DE ZU†IGA,0,97,TLAJOMULCO DE ZU†IGA,MA. JULIA ROBLES RAMIREZ,45640,37980674,cecy1327@hotmail.com,154,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.4806331,-103.4453626
14DJN0157J,MATUTINO,ALFONSO GONZALEZ LOPEZ,RAMON CORONA 44,PORFIRIO DIAZ,JOSE MA MORELOS,1,VILLA HIDALGO,0,116,VILLA HIDALGO,ANGELICA ZAMARRIPA DE LA ROSA,47250,9681187,paty_godina@hotmail.com,140,10,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.674401,-102.590202
14DJN0158I,MATUTINO,SALVADOR DIAZ MIRON,HIDALGO 9,EMILIANO ZAPATA,PRIV. DE ZAPATA,1,ZAPOTILTIC,HUESCALAPA,121,ZAPOTILTIC,MARTHA ELIA CONTRERAS MORALES,49610,4143062,marelia_65@hotmail.com,77,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.6328786,-103.4461705
14DJN0159H,MATUTINO,EMILIANO ZAPATA,CUAUHTEMOC 60,0,0,17,EL ZAPOTE (SAN MIGUEL DEL ZAPOTE),0,89,TECHALUTA DE MONTENEGRO,CLAUDIA SONIA RAMOS RODRIGUEZ,49240,0,zapat@live.com.mx,165,12,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.1330834,-103.5329444
14DJN0160X,MATUTINO,FEDERICO FROEBEL,VENUSTIANO CARRANZA 36,REVOLUCION,MITA,1,MAZAMITLA,CANOITAS,59,MAZAMITLA,ERENDIRA MARGARITA CHAPULA LUNA,49500,5381061,federico53-60x@hotmail.com,53,13,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.910687,-103.01768
14DJN0161W,CONTINUO (TIEMPO COMPLETO),SEGISMUNDO FREUD,CONSTITUCION 100,SANTA ROSA,NI†OS HEROES,1,TONALA,SANTA CRUZ DE LAS HUERTAS,101,TONALA,RAQUEL GUTIERREZ SORIA,45400,36912593,segismundo.14@hotmail.com,105,22,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6199614,-103.2673939
14DJN0162V,MATUTINO,MANUEL M PONCE,EUTIMIO PINZON 984,FERNANDO FRANCO,JUAN JOSE DE LA GARZA,1,GUADALAJARA,RANCHO NUEVO,39,GUADALAJARA,SARA BERTHA NAVARRO GONZALEZ,44240,0,galindoceledon@live.com.mx,178,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.717572,-103.3308692
14DJN0163U,MATUTINO,FEDERICO FROEBEL,SAN ANTONIO 111,CIRCUNVALACION NORTE,SANTA ANA,1,ZAPOPAN,LAS FUENTES,120,ZAPOPAN,CELINA DIAZ CARRILLO,45070,36319236,patyrari@hotmail.com,15,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6245741,-103.4276
14DJN0164T,MATUTINO,PRIMAVERA,CUITLAHUAC 99,16 DE SEPTIEMBRE,0,1,LA HUERTA,0,43,LA HUERTA,OBDULIA ORTEGA GONZALEZ,48850,3840070,yuya_1967@hotmail.com,41,16,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.4798711,-104.6389655
14DJN0165S,MATUTINO,RAMON LOPEZ VELARDE,GLADIOLA 15,CRISANTEMO,MARGARITA,1,ZAPOTILTIC,0,121,ZAPOTILTIC,DALILA DEL TORO RODRIGUEZ,49600,4143880,14djn0165s@escuelas.sej.gob.mx,77,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.621367,-103.4142414
14DJN0166R,MATUTINO,JOSE ANTONIO TORRES,JULIO C SOLORZANO 10,LEONA VICARIO,ALDAMA,1,AMECA,AMECA (ZONA CENTRO),6,AMECA,MARTHA ROSA SANTOS RAMOS,46600,7582219,gabrielarevill@hotmail.com,95,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.5526221,-104.0512028
14DJN0167Q,MATUTINO,A†O INTERNACIONAL DEL NI†O,MARIANO AZUELA 12,PEDRO MORENO,MEXICO,1,OJUELOS DE JALISCO,0,64,OJUELOS DE JALISCO,RUBEN ARTURO GARCIA GUERRERO,47540,8511150,lulys24@hotmail.com,48,9,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.8665463,-101.5910544
14DJN0168P,MATUTINO,DOLORES IBA†EZ,INDEPENDENCIA 35,FRANCISCO GARCIA PADILLA DE A.,0,1,EJUTLA,0,34,EJUTLA,GLORIA JANETH MICHEL NU†EZ,48680,4315198,garciadealba_gemm@hotmail.com,56,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.9062174,-104.1655588
14DJN0169O,MATUTINO,TELPOCHCALLI,AMADO NERVO 17,ALFONSO REYES,SALVADOR DIAZ MIRON,1,TEOCALTICHE,0,91,TEOCALTICHE,MARTHA CAROLINA JIMENEZ SALAZAR,47200,7874703,caroline_68@outlook.es,61,10,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.4204195,-102.5702946
14DJN0170D,MATUTINO,SOR JUANA INES DE LA CRUZ,CUITLAHUAC 185,SANTOS DEGOLLADO,MOCTEZUMA,1,TLAQUEPAQUE,SAN PEDRO,98,SAN PEDRO TLAQUEPAQUE,ELVIRA RUBIO GONZALEZ,45500,36353274,heskka@yahoo.com.mx,6,5,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6356439,-103.3182844
14DJN0171C,MATUTINO,MANUEL LOPEZ COTILLA,VICENTE GUERRERO,HIDALGO,FLORES GUDI†O,1,AMACUECA,0,4,AMACUECA,MARTHA RODRIGUEZ FLORES,49370,0,marti_ta23@hotmail.com,165,12,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.0074238,-103.5968454
14DJN0172B,MATUTINO,CONCEPCION MARTIN DEL CAMPO,ARQUITECTO PEDRO CIPRES 4477,ARQUITECTO MAURICIO CAMPOS,ARQ ANTONIO RIVAS M,1,GUADALAJARA,MIRAVALLE,39,GUADALAJARA,ANA CELINA YA†EZ LEON,44990,36701948,14djn0172b@escuelas.sej.gob.mx,174,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.610003,-103.345527
14DJN0173A,MATUTINO,JOSE ROSAS MORENO,JOSE ANTONIO TORRES,GONZALEZ ORTEGA,PIPILA,1,CIUDAD GUZMAN,0,23,ZAPOTLAN EL GRANDE,JOSEFINA GARCIA GUZMAN,49000,4122553,rosasmoreno173a@hotmail.com,76,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.7175448,-103.464661
14DJN0174Z,MATUTINO,FRANCISCO I MADERO,VALLARTA 2,RAMON CORONA,0,1,ZAPOTILTIC,0,121,ZAPOTILTIC,MARIA DEL CARMEN URDIALES MAGA†A,49600,4143088,carmenurdialesm@hotmail.com,77,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.6230808,-103.4227891
14DJN0175Z,MATUTINO,FELICITAS FREGOSO REGLA,ISABEL SANTANA 211,0,0,24,SOYATLAN DEL ORO,0,11,ATENGO,MARTINA CURIEL MARTINEZ,48180,7710285,felicitasfjdn@hotmail.com,114,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.3061389,-104.2809999
14DJN0176Y,MATUTINO,JOSE VASCONCELOS,TERMINACION GUERRERO 257,LA PALMA,PRIVADA DE GUERRERO,1,CIUDAD GUZMAN,0,23,ZAPOTLAN EL GRANDE,CLAUDIA JOSEFINA OCHOA MARTINEZ,49000,4120944,josevasconcelos076@hotmail.com,76,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.709246,-103.4713217
14DJN0177X,MATUTINO,JESUS GONZALEZ MARTIN,MIGUEL BLANCO 164,ALDAMA,INSURGENTES,58,CAPILLA DE GUADALUPE,0,93,TEPATITLAN DE MORELOS,ROSALINA FLORES HERNANDEZ,47700,7121650,rosyflores1126@hotmail.com,163,8,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.8288353,-102.595286
14DJN0178W,MATUTINO,NI†O OBRERO,LAZARO CARDENAS 49,LOPEZ PORTILLO,IGNACIO COMONFORT,1,AMECA,OBRERA,6,AMECA,MARIA IMELDA JIMENEZ GALVAN,46620,7587956,jigamarimel@gmail.com,95,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.549615,-104.058794
14DJN0179V,MATUTINO,MA DE JESUS SANCHEZ MUNOZ,LIBERTAD 27,ITURBIDE,JUAREZ,15,SAN MIGUEL CUYUTLAN,0,97,TLAJOMULCO DE ZU†IGA,ILDA ESPANTA PEREZ,45660,37724267,ildarose_1965@hotmail.com,154,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.4161481,-103.3902725
14DJN0181J,MATUTINO,FEDERICO FROEBEL,SANTA ESTHER 20,SANTA ESTELA,SANTA LAURA,1,ZAPOPAN,SANTA MARGARITA,120,ZAPOPAN,CARLA MELISSA PALOMERA CERDA,45140,38329275,patricianunoa@hotmail.com,191,3,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.7290582,-103.4050028
14DJN0182I,MATUTINO,CIPACTLI,HIDALGO 36,TRANQUILINO ELIZONDO,DELICIAS,1,ACATLAN DE JUAREZ,0,2,ACATLAN DE JUAREZ,GRACIELA SANCHEZ GONZALEZ,45700,0,graciela_sanchezglez@hotmail.com,8,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.4230156,-103.5909559
14DJN0183H,MATUTINO,SOR JUANA INES DE LA CRUZ,BELISARIO DOMINGUEZ 285,OGAZON,LEONA VICARIO,1,CIUDAD GUZMAN,LOMAS DE ZAPOTLAN,23,ZAPOTLAN EL GRANDE,YADIRA GALINDO MATA,49090,4105753,elanygali@live.com,10,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.6955019,-103.4580977
14DJN0185F,MATUTINO,TZINTLI,JUAN SEBASTIAN ELCANO 2721,ANTONIO DE MARCHENA,FRANCISCO VAZQUEZ CORONADO,1,GUADALAJARA,INDUSTRIAL,39,GUADALAJARA,SILVIA GARCIA VILLASE†OR,44930,38110151,14djn0185f@escuelas.sej.gob.mx,126,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6394114,-103.3720581
14DJN0186E,MATUTINO,CARLOS B ALONSO,EMILIANO ZAPATA 575,RIO SANTIAGO,0,1,TIZAPAN EL ALTO,ATRACADERO,96,TIZAPAN EL ALTO,MA. DEL CARMEN RAMIREZ AGUILAR,49400,0,carlosbalonso@outlook.com,39,21,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.1725999,-103.0393383
14DJN0187D,MATUTINO,SOR JUANA INES DE LA CRUZ,JUAREZ 265,EMILIANO GALVEZ,ALLENDE,1,TEOCUITATLAN DE CORONA,0,92,TEOCUITATLAN DE CORONA,MA. DEL CARMEN CASTELLANOS GARCIA,49250,0,carmencasga@hotmail.com,90,12,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.098119,-103.3783289
14DJN0188C,MATUTINO,JOAQUIN FIGUEROA,TAMPICO 1,ZACATECAS,DURANGO,1,OCOTLAN,CAMINO REAL,63,OCOTLAN,MA CONCEPCION GURROLA PIMENTEL,47840,9222652,14djn0188c@escuelas.sej.gob.mx,26,6,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.3573648,-102.7790359
14DJN0190R,MATUTINO,PABLO NERUDA,MARIANO JIMENEZ 37,NI†OS HEROES,ALLENDE,1,EL GRULLO,0,37,EL GRULLO,FRANCISCA PEREZ PERALTA,48740,3872620,yaocihuatl38@gmail.com,56,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.8082683,-104.2161121
14DJN0191Q,MATUTINO,GENERACION 1938,VICENTE GUERRERO 600,TABACHINES,ALAMO,1,ZAPOPAN,LOMA BONITA,120,ZAPOPAN,XOCHITL FAJARDO GUZMAN,45060,36328253,maryferny67@hotmail.com,104,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6308792,-103.4020571
14DJN0192P,MATUTINO,NETZAHUALCOYOTL,MERIDA 18,MEXICO,TOLUCA,1,UNION DE TULA,0,110,UNION DE TULA,MARIA DEL ROSIO LEPE MENDOZA,48000,0,rosa_fiona1@hotmail.com,32,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.9606003,-104.2640321
14DJN0193O,MATUTINO,MARINA ALVARADO PELAYO,OTUMBA 26,JALISCO,REVOLUCION,1,ATENGO,0,11,ATENGO,MA. GUADALUPE MORELOS TORRES,48190,0,marinaalvaradop@hotmail.com,114,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.2711856,-104.2336372
14DJN0194N,MATUTINO,GABILONDO SOLER,CONOCIDO,0,0,71,HIERBA DE MATANCILLAS,0,64,OJUELOS DE JALISCO,ANA BERTHA RUVALCABA MEDINA,47540,0,ana_ximerica@hotmail.com,158,9,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.8666269,-101.6723811
14DJN0195M,MATUTINO,CARMEN TORRES VELIZ,DEGOLLADO 165,HERRERA Y CAIRO,PRIVADA AGRICOLA,1,ZAPOPAN,AGUA BLANCA,120,ZAPOPAN,ELVIA MARTINEZ OLVERA,45235,13266218,solsol_luna@hotmail.com,127,4,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6035101,-103.4313799
14DJN0196L,MATUTINO,SALVADOR GALVEZ GUTIERREZ,VISTA HERMOSA 587,FRANCISCO MORA,MANUEL ESPARZA,1,ZAPOPAN,LOS MAESTROS,120,ZAPOPAN,ANA CECILIA VILLAR GUERRERO,45150,36367791,14djn0196l@escuelas.sej.gob.mx,190,3,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.724801,-103.3804605
14DJN0197K,MATUTINO,AYOYOTL,IGNACIO ZARAGOZA 4,0,0,5,AYOTITLAN,0,88,TECOLOTLAN,NORMA DIAZ SANTILLAN,48560,0,lilia_gomez_nono@hotmail.com,110,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.2201111,-103.9458333
14DJN0198J,MATUTINO,ARTURO ARIAS OROZCO,ELBA MERINO 1,0,0,21,OJO DE AGUA,0,88,TECOLOTLAN,LUZ ALEJANDRA NU†O PARTIDA,48554,0,alxnuno@hotmail.com,110,15,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.2213334,-103.98025
14DJN0199I,MATUTINO,AGUSTIN YA†EZ,REFUGIO TOLEDO 3,CUITLAHUAC,MANUEL ACU†A,1,YAHUALICA DE GONZALEZ GALLO,CEBETA,118,YAHUALICA DE GONZALEZ GALLO,LUZ MARIA LIMON BARBA,47300,7840281,vero-14@live.com.mx,146,8,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.1818817,-102.8790207
14DJN0200H,CONTINUO (TIEMPO COMPLETO),MARIA GUTIERREZ RODRIGUEZ,NUEVA ESCOCIA 1667,BOGOTA,TORONTO,1,GUADALAJARA,PROVIDENCIA,39,GUADALAJARA,DORA LUCILA ROBLES MACHUCA,44630,36427714,xochitlfajardog@hotmail.com,170,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.700172,-103.389152
14DJN0201G,MATUTINO,IGNACIO M ALTAMIRANO,EJIDO 156,ROBERTO FIERROS,EMILIANO ZAPATA,1,MAGDALENA,0,55,MAGDALENA,MARIA ESTHER GOMEZ RAMIREZ,46470,7442195,maesther001@hotmail.com,107,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.90409,-103.97858
14DJN0202F,MATUTINO,JUANA MA ALFARO,SECUNDINO GONZALEZ 254,JUSTO SIERRA,ARAGON,1,VALLE DE GUADALUPE,0,111,VALLE DE GUADALUPE,MARIA GRISELDA CASTRO VILLAGRANA,47380,0,djn0202f@hotmail.com,163,8,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.0060546,-102.6222733
14DJN0203E,MATUTINO,LEONA VICARIO,FIDEL VELAZQUEZ 7,QUINTANA ROO,JAVIER MINA,13,EL REFUGIO,0,83,TALA,MARICELA SALAS VILLASE†OR,45310,7383728,casianmaytt@live.com.mx,30,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6709288,-103.7412515
14DJN0204D,MATUTINO,GREGORIO TORRES QUINTERO,HIDALGO 451,PIPILA,GALEANA,1,ZAPOTILTIC,0,121,ZAPOTILTIC,BLANCA LIVIER LIZARRAGA RAMOS,49600,4141596,madelinne2207@hotmail.com,77,11,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.6255556,-103.4125
14DJN0205C,MATUTINO,LAURA APODACA,PROGRESO 249,SANTOS DEGOLLADO,PORVENIR,1,TLAQUEPAQUE,SAN PEDRO,98,SAN PEDRO TLAQUEPAQUE,LOURDES RAMONA PALOMINO HERNANDEZ,45500,38387622,flaca_70m@hotmail.com,6,5,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6350584,-103.3116054
14DJN0206B,MATUTINO,MA SANTOS DELGADILLO DE YA†EZ,HIDALGO 104,JOSEFA ORTIZ DE DOMINGUEZ,LOPEZ RAYON,1,YAHUALICA DE GONZALEZ GALLO,0,118,YAHUALICA DE GONZALEZ GALLO,MARIA DE LOS DOLORES MACIAS VELASCO,47300,7840273,santos14djn0206b@hotmail.com,40,8,24,FEDERALIZADO,PREESCOLAR,GENERAL,21.1799468,-102.8877982
